Ano;Mês;Código do Produto;Descrição do Produto;Região do Produtor;UF do Produtor;Código da Operação;Descrição da Operação;Volume(L)
2015;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;2366003
2015;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;7492336
2015;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;45190
2015;2;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;21454
2015;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;420
2015;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;307383
2015;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;3045055
2015;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;4370645
2015;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;344
2015;3;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;555575
2015;3;620101004;ISOLANTE TIPO A;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;54200
2015;3;620101004;ISOLANTE TIPO A;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;200
2015;3;620101005;ISOLANTE TIPO B;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;46715
2015;3;620201001;ÓLEOS LUBRIFICANTES PARA AVIAÇÃO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;637024
2015;3;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;NORTE;PA;1021004;PRODUÇÃO POR MISTURA;20
2015;3;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;3095750
2015;3;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;618969
2015;3;620501001;CICLO OTTO;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;119065
2015;3;620501001;CICLO OTTO;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;11084
2015;3;620501001;CICLO OTTO;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;57576
2015;3;620501001;CICLO OTTO;NORTE;PA;1021004;PRODUÇÃO POR MISTURA;24
2015;3;620501001;CICLO OTTO;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;9256112
2015;3;620501001;CICLO OTTO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;25752309
2015;3;620501001;CICLO OTTO;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;11995117
2015;3;620501001;CICLO OTTO;SUL;PR;1021004;PRODUÇÃO POR MISTURA;204021
2015;3;620501001;CICLO OTTO;SUL;RS;1021004;PRODUÇÃO POR MISTURA;2385
2015;3;620501002;CICLO DIESEL;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;25222
2015;3;620501002;CICLO DIESEL;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;9400
2015;3;620501002;CICLO DIESEL;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;33000
2015;3;620501002;CICLO DIESEL;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;4760641
2015;3;620501002;CICLO DIESEL;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;21880056
2015;3;620501002;CICLO DIESEL;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1857533
2015;3;620501002;CICLO DIESEL;SUL;PR;1021004;PRODUÇÃO POR MISTURA;61953
2015;3;620501002;CICLO DIESEL;SUL;RS;1021004;PRODUÇÃO POR MISTURA;1808
2015;3;620502001;MOTORES 2 TEMPOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;20
2015;3;620502001;MOTORES 2 TEMPOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;20
2015;3;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;56935
2015;3;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1027272
2015;3;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;88516
